,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Coldplay,1285587,186,60,['rock'],http://en.wikipedia.org/wiki/Coldplay
Radiohead,383038,200,42,['indie'],http://en.wikipedia.org/wiki/Radiohead
Red Hot Chili Peppers,2123125,266,32,['rock'],http://en.wikipedia.org/wiki/Red Hot Chili Peppers
Rihanna,1670335,268,57,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Rihanna
Eminem,5179686,396,37,['foreignrap'],http://en.wikipedia.org/wiki/Eminem
The Killers,373810,151,25,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/The Killers
Kanye West,1981468,386,51,['foreignrap'],http://en.wikipedia.org/wiki/Kanye West
Nirvana,3500045,165,15,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Nirvana (band)
Muse,1033821,149,35,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Muse (band)
Queen,4431010,297,38,"['rock', 'hardrock', 'films']",http://en.wikipedia.org/wiki/Queen (band)
Foo Fighters,70483,173,1,"['rock', 'alternative', 'hardrock']",http://en.wikipedia.org/wiki/Foo Fighters
Linkin Park,3569673,204,45,['numetal'],http://en.wikipedia.org/wiki/Linkin Park
Lady Gaga,648776,279,44,['pop'],http://en.wikipedia.org/wiki/Lady Gaga
The Rolling Stones,537854,540,124,"['rock', 'blues', 'rnr']",http://en.wikipedia.org/wiki/The Rolling Stones
Daft Punk,932047,170,22,['house'],http://en.wikipedia.org/wiki/Daft Punk
Green Day,1044955,260,45,"['alternative', 'punk', 'rock']",http://en.wikipedia.org/wiki/Green Day
Katy Perry,756452,165,45,"['pop', 'dance', 'edmgenre']",http://en.wikipedia.org/wiki/Katy Perry
The Beatles,2528982,358,41,"['rock', 'rnr', 'prog']",http://en.wikipedia.org/wiki/The Beatles
Oasis,82536,136,1,['rock'],http://en.wikipedia.org/wiki/Oasis (band)
Gorillaz,636233,213,40,['indie'],http://en.wikipedia.org/wiki/Gorillaz
Beyoncé,615791,254,16,['pop'],http://en.wikipedia.org/wiki/Beyoncé
Michael Jackson,729302,335,21,['pop'],http://en.wikipedia.org/wiki/Michael Jackson
Maroon 5,1462438,165,32,"['pop', 'rock', 'foreignrap']",http://en.wikipedia.org/wiki/Maroon 5
Arctic Monkeys,767365,110,25,['indie'],http://en.wikipedia.org/wiki/Arctic Monkeys
System of a Down,1537028,76,1,['alternativemetal'],http://en.wikipedia.org/wiki/System of a Down
U2,143757,346,51,['rock'],http://en.wikipedia.org/wiki/U2
Kings of Leon,57341,101,1,['alternative'],http://en.wikipedia.org/wiki/Kings of Leon
Drake,1882589,432,63,['foreignrap'],http://en.wikipedia.org/wiki/Drake (musician)
David Bowie,189166,767,129,"['rock', 'pop', 'dance']",http://en.wikipedia.org/wiki/David Bowie
The Black Eyed Peas,1509816,175,28,"['pop', 'foreignrap', 'rap']",http://en.wikipedia.org/wiki/Black Eyed Peas
The Strokes,20472,68,0,"['indie', 'pop', 'rock']",http://en.wikipedia.org/wiki/The Strokes
Britney Spears,262566,164,1,['pop'],http://en.wikipedia.org/wiki/Britney Spears
Guns N’ Roses,656507,190,19,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Guns N' Roses
Franz Ferdinand,51109,124,31,['indie'],http://en.wikipedia.org/wiki/Franz Ferdinand (band)
The Doors,251627,415,37,['allrock'],http://en.wikipedia.org/wiki/The Doors
JAY-Z,361163,478,40,['rap'],http://en.wikipedia.org/wiki/Jay-Z
Madonna,271664,483,67,"['pop', 'dance', 'electronics']",http://en.wikipedia.org/wiki/Madonna
Pink Floyd,1170406,260,36,"['prog', 'rock', 'pop']",http://en.wikipedia.org/wiki/Pink Floyd
Weezer,17142,230,32,"['alternative', 'rock', 'pop']",http://en.wikipedia.org/wiki/Weezer
Snow Patrol,34975,120,24,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/Snow Patrol
blink‐182,284486,156,15,"['rock', 'punk', 'pop']",http://en.wikipedia.org/wiki/Blink-182
The White Stripes,205803,119,3,['alternative'],http://en.wikipedia.org/wiki/The White Stripes
The Cure,752168,309,31,['rock'],http://en.wikipedia.org/wiki/The Cure
Led Zeppelin,735130,146,20,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Led Zeppelin
Beck,17078,314,38,['rock'],http://en.wikipedia.org/wiki/Beck
Aerosmith,542005,322,13,['hardrock'],http://en.wikipedia.org/wiki/Aerosmith
The Offspring,1093833,146,18,"['punk', 'rock', 'holiday']",http://en.wikipedia.org/wiki/The Offspring
Metallica,2259281,255,45,['thrashmetal'],http://en.wikipedia.org/wiki/Metallica
R.E.M.,69351,394,43,['alternative'],http://en.wikipedia.org/wiki/R.E.M.
