,Количество лайков,Количество треков,Количество альбомов,Жанры,Страница Википедии
Coldplay,1305445,186,60,['rock'],http://en.wikipedia.org/wiki/Coldplay
Radiohead,387180,200,42,['indie'],http://en.wikipedia.org/wiki/Radiohead
Red Hot Chili Peppers,2155459,266,32,['rock'],http://en.wikipedia.org/wiki/Red Hot Chili Peppers
Rihanna,1700983,268,57,"['pop', 'dance', 'rnb']",http://en.wikipedia.org/wiki/Rihanna
Eminem,5278564,396,37,['foreignrap'],http://en.wikipedia.org/wiki/Eminem
The Killers,376882,151,25,"['alternative', 'rock', 'indie']",http://en.wikipedia.org/wiki/The Killers
Kanye West,2030553,386,51,['foreignrap'],http://en.wikipedia.org/wiki/Kanye West
Nirvana,3584013,165,15,"['rock', 'alternative']",http://en.wikipedia.org/wiki/Nirvana (band)
Muse,1039519,149,35,"['alternative', 'rock']",http://en.wikipedia.org/wiki/Muse (band)
Queen,4498057,297,38,"['rock', 'hardrock', 'films']",http://en.wikipedia.org/wiki/Queen (band)
Foo Fighters,70914,173,1,"['rock', 'alternative', 'hardrock']",http://en.wikipedia.org/wiki/Foo Fighters
Linkin Park,3623681,204,45,['numetal'],http://en.wikipedia.org/wiki/Linkin Park
Lady Gaga,658454,276,44,['pop'],http://en.wikipedia.org/wiki/Lady Gaga
The Rolling Stones,545502,541,125,"['rock', 'blues', 'rnr']",http://en.wikipedia.org/wiki/The Rolling Stones
Daft Punk,945499,171,22,['house'],http://en.wikipedia.org/wiki/Daft Punk
Green Day,1061201,260,45,"['alternative', 'punk', 'rock']",http://en.wikipedia.org/wiki/Green Day
Katy Perry,758829,165,45,"['pop', 'dance', 'edmgenre']",http://en.wikipedia.org/wiki/Katy Perry
The Beatles,2576480,358,41,"['rock', 'rnr', 'prog']",http://en.wikipedia.org/wiki/The Beatles
Oasis,82907,136,1,['rock'],http://en.wikipedia.org/wiki/Oasis (band)
Gorillaz,647604,213,40,['indie'],http://en.wikipedia.org/wiki/Gorillaz
Beyoncé,617131,254,16,['pop'],http://en.wikipedia.org/wiki/Beyoncé
Michael Jackson,733322,337,22,['pop'],http://en.wikipedia.org/wiki/Michael Jackson
Maroon 5,1480307,165,32,"['pop', 'rock', 'foreignrap']",http://en.wikipedia.org/wiki/Maroon 5
Arctic Monkeys,778745,110,25,['indie'],http://en.wikipedia.org/wiki/Arctic Monkeys
System of a Down,1541337,76,1,['alternativemetal'],http://en.wikipedia.org/wiki/System of a Down
U2,144916,346,51,['rock'],http://en.wikipedia.org/wiki/U2
Kings of Leon,57476,101,1,['alternative'],http://en.wikipedia.org/wiki/Kings of Leon
Drake,1927084,432,63,['foreignrap'],http://en.wikipedia.org/wiki/Drake (musician)
David Bowie,191041,767,129,"['rock', 'pop', 'dance']",http://en.wikipedia.org/wiki/David Bowie
The Black Eyed Peas,1522069,175,28,"['pop', 'foreignrap', 'rap']",http://en.wikipedia.org/wiki/Black Eyed Peas
The Strokes,20529,68,0,"['indie', 'pop', 'rock']",http://en.wikipedia.org/wiki/The Strokes
Britney Spears,263401,164,1,['pop'],http://en.wikipedia.org/wiki/Britney Spears
Guns N’ Roses,674552,190,19,"['hardrock', 'rock']",http://en.wikipedia.org/wiki/Guns N' Roses
Franz Ferdinand,51503,124,31,['indie'],http://en.wikipedia.org/wiki/Franz Ferdinand (band)
The Doors,252891,418,38,['allrock'],http://en.wikipedia.org/wiki/The Doors
JAY-Z,370714,478,40,['rap'],http://en.wikipedia.org/wiki/Jay-Z
